"collaborator","title","abstract"
"National Cancer Centre Singapore","Gene-specific criteria for PTEN variant curation: Recommendations from theClinGen PTEN Expert Panel.","The ClinGen PTEN Expert Panel was organized by the ClinGen Hereditary CancerClinical Domain Working Group to assemble clinicians, researchers, and moleculardiagnosticians with PTEN expertise to develop specifications to the  ACMG/AMPSequence Variant Interpretation Guidelines for PTEN variant interpretation. Wedescribe finalized PTEN-specific variant classification criteria and outcomesfrom pilot testing of  variants with benign/likely benign (BEN/LBEN),pathogenic/likely pathogenic (PATH/LPATH), uncertain significance (VUS), andconflicting (CONF) ClinVar assertions. Utilizing these rules, classificationsconcordant with ClinVar assertions were achieved for / (.%) BEN/LBEN and/ (%) PATH/LPATH ClinVar consensus variants for an overall concordance of.% (/). The variant where agreement was not reached was a synonymousvariant near a splice donor with noncanonical sequence for which in silico modelscannot predict the native site. Applying these rules to six VUS and five CONFvariants, adding shared internal laboratory data enabled one VUS to be classifiedas LBEN and two CONF variants to be as classified as PATH and LPATH. This studyhighlights the benefit of gene-specific criteria and the value of sharinginternal laboratory data for variant interpretation. Our PTEN-specific criteriaand expertly reviewed assertions should prove helpful for laboratories and otherscurating PTEN variants."
"Case Comprehensive Cancer Center","Gene-specific criteria for PTEN variant curation: Recommendations from theClinGen PTEN Expert Panel.","The ClinGen PTEN Expert Panel was organized by the ClinGen Hereditary CancerClinical Domain Working Group to assemble clinicians, researchers, and moleculardiagnosticians with PTEN expertise to develop specifications to the  ACMG/AMPSequence Variant Interpretation Guidelines for PTEN variant interpretation. Wedescribe finalized PTEN-specific variant classification criteria and outcomesfrom pilot testing of  variants with benign/likely benign (BEN/LBEN),pathogenic/likely pathogenic (PATH/LPATH), uncertain significance (VUS), andconflicting (CONF) ClinVar assertions. Utilizing these rules, classificationsconcordant with ClinVar assertions were achieved for / (.%) BEN/LBEN and/ (%) PATH/LPATH ClinVar consensus variants for an overall concordance of.% (/). The variant where agreement was not reached was a synonymousvariant near a splice donor with noncanonical sequence for which in silico modelscannot predict the native site. Applying these rules to six VUS and five CONFvariants, adding shared internal laboratory data enabled one VUS to be classifiedas LBEN and two CONF variants to be as classified as PATH and LPATH. This studyhighlights the benefit of gene-specific criteria and the value of sharinginternal laboratory data for variant interpretation. Our PTEN-specific criteriaand expertly reviewed assertions should prove helpful for laboratories and otherscurating PTEN variants."
"Case Western Reserve University School of Medicine","Gene-specific criteria for PTEN variant curation: Recommendations from theClinGen PTEN Expert Panel.","The ClinGen PTEN Expert Panel was organized by the ClinGen Hereditary CancerClinical Domain Working Group to assemble clinicians, researchers, and moleculardiagnosticians with PTEN expertise to develop specifications to the  ACMG/AMPSequence Variant Interpretation Guidelines for PTEN variant interpretation. Wedescribe finalized PTEN-specific variant classification criteria and outcomesfrom pilot testing of  variants with benign/likely benign (BEN/LBEN),pathogenic/likely pathogenic (PATH/LPATH), uncertain significance (VUS), andconflicting (CONF) ClinVar assertions. Utilizing these rules, classificationsconcordant with ClinVar assertions were achieved for / (.%) BEN/LBEN and/ (%) PATH/LPATH ClinVar consensus variants for an overall concordance of.% (/). The variant where agreement was not reached was a synonymousvariant near a splice donor with noncanonical sequence for which in silico modelscannot predict the native site. Applying these rules to six VUS and five CONFvariants, adding shared internal laboratory data enabled one VUS to be classifiedas LBEN and two CONF variants to be as classified as PATH and LPATH. This studyhighlights the benefit of gene-specific criteria and the value of sharinginternal laboratory data for variant interpretation. Our PTEN-specific criteriaand expertly reviewed assertions should prove helpful for laboratories and otherscurating PTEN variants."
"Memorial Sloan Kettering Cancer Center","Gene-specific criteria for PTEN variant curation: Recommendations from theClinGen PTEN Expert Panel.","The ClinGen PTEN Expert Panel was organized by the ClinGen Hereditary CancerClinical Domain Working Group to assemble clinicians, researchers, and moleculardiagnosticians with PTEN expertise to develop specifications to the  ACMG/AMPSequence Variant Interpretation Guidelines for PTEN variant interpretation. Wedescribe finalized PTEN-specific variant classification criteria and outcomesfrom pilot testing of  variants with benign/likely benign (BEN/LBEN),pathogenic/likely pathogenic (PATH/LPATH), uncertain significance (VUS), andconflicting (CONF) ClinVar assertions. Utilizing these rules, classificationsconcordant with ClinVar assertions were achieved for / (.%) BEN/LBEN and/ (%) PATH/LPATH ClinVar consensus variants for an overall concordance of.% (/). The variant where agreement was not reached was a synonymousvariant near a splice donor with noncanonical sequence for which in silico modelscannot predict the native site. Applying these rules to six VUS and five CONFvariants, adding shared internal laboratory data enabled one VUS to be classifiedas LBEN and two CONF variants to be as classified as PATH and LPATH. This studyhighlights the benefit of gene-specific criteria and the value of sharinginternal laboratory data for variant interpretation. Our PTEN-specific criteriaand expertly reviewed assertions should prove helpful for laboratories and otherscurating PTEN variants."
"Emory University","Gene-specific criteria for PTEN variant curation: Recommendations from theClinGen PTEN Expert Panel.","The ClinGen PTEN Expert Panel was organized by the ClinGen Hereditary CancerClinical Domain Working Group to assemble clinicians, researchers, and moleculardiagnosticians with PTEN expertise to develop specifications to the  ACMG/AMPSequence Variant Interpretation Guidelines for PTEN variant interpretation. Wedescribe finalized PTEN-specific variant classification criteria and outcomesfrom pilot testing of  variants with benign/likely benign (BEN/LBEN),pathogenic/likely pathogenic (PATH/LPATH), uncertain significance (VUS), andconflicting (CONF) ClinVar assertions. Utilizing these rules, classificationsconcordant with ClinVar assertions were achieved for / (.%) BEN/LBEN and/ (%) PATH/LPATH ClinVar consensus variants for an overall concordance of.% (/). The variant where agreement was not reached was a synonymousvariant near a splice donor with noncanonical sequence for which in silico modelscannot predict the native site. Applying these rules to six VUS and five CONFvariants, adding shared internal laboratory data enabled one VUS to be classifiedas LBEN and two CONF variants to be as classified as PATH and LPATH. This studyhighlights the benefit of gene-specific criteria and the value of sharinginternal laboratory data for variant interpretation. Our PTEN-specific criteriaand expertly reviewed assertions should prove helpful for laboratories and otherscurating PTEN variants."
"Cleveland Clinic Genomic Medicine Institute","Gene-specific criteria for PTEN variant curation: Recommendations from theClinGen PTEN Expert Panel.","The ClinGen PTEN Expert Panel was organized by the ClinGen Hereditary CancerClinical Domain Working Group to assemble clinicians, researchers, and moleculardiagnosticians with PTEN expertise to develop specifications to the  ACMG/AMPSequence Variant Interpretation Guidelines for PTEN variant interpretation. Wedescribe finalized PTEN-specific variant classification criteria and outcomesfrom pilot testing of  variants with benign/likely benign (BEN/LBEN),pathogenic/likely pathogenic (PATH/LPATH), uncertain significance (VUS), andconflicting (CONF) ClinVar assertions. Utilizing these rules, classificationsconcordant with ClinVar assertions were achieved for / (.%) BEN/LBEN and/ (%) PATH/LPATH ClinVar consensus variants for an overall concordance of.% (/). The variant where agreement was not reached was a synonymousvariant near a splice donor with noncanonical sequence for which in silico modelscannot predict the native site. Applying these rules to six VUS and five CONFvariants, adding shared internal laboratory data enabled one VUS to be classifiedas LBEN and two CONF variants to be as classified as PATH and LPATH. This studyhighlights the benefit of gene-specific criteria and the value of sharinginternal laboratory data for variant interpretation. Our PTEN-specific criteriaand expertly reviewed assertions should prove helpful for laboratories and otherscurating PTEN variants."
" Kamuzu Central Hospital Cancer Registry","Frequent HIV and Young Age Among Individuals With Diverse Cancers at a NationalTeaching Hospital in Malawi.","Purpose Cancer surveillance provides a critical evidence base to guide cancercontrol efforts, yet population-based coverage in Africa is sparse.Hospital-based registries may help fill this need by providing localepidemiologic data to guide policy and forecast local health care needs. Wereport the epidemiology of patients with cancer recorded by a de novohospital-based cancer registry at Kamuzu Central Hospital, Malawi, the soleprovider of comprehensive oncology services for half the country and location ofa high-volume pathology laboratory. Methods We conducted active case findingacross all hospital departments and the pathology laboratory from June  toMarch . Patient demographics, tumor characteristics, treatment, and HIVstatus were collected. We describe epidemiology of the cancer caseload, registrydesign, and costs associated with registry operations. Results Among ,registered patients, Kaposi sarcoma and cervical cancer were the most commoncancers among men and women, respectively. Burkitt lymphoma was most commoncancer among children. The current rate of pathology confirmation is %, a vastimprovement in the diagnostic capacity for cancer through the hospital'spathology laboratory. Among leading cancer types, an alarming proportion occurredat young ages; % of Kaposi sarcoma and % of esophageal, breast, and cervicalcancers were diagnosed among those younger than  years of age. A systematic,cross-sectional assessment of HIV status reveals a prevalence of % among adultsand % among children. Conclusion We report a high caseload among typicallyyoung patients and a significant burden of HIV infection among patients withcancer. In low- and middle-income countries with intermittent, sparse, ornonexistent cancer surveillance, hospital-based cancer registries can provideimportant local epidemiologic data while efforts to expand population-basedregistration continue."
" Malawi Cancer Consortium & Regional Center of Research Excellence for Non-Communicable Diseases","Frequent HIV and Young Age Among Individuals With Diverse Cancers at a NationalTeaching Hospital in Malawi.","Purpose Cancer surveillance provides a critical evidence base to guide cancercontrol efforts, yet population-based coverage in Africa is sparse.Hospital-based registries may help fill this need by providing localepidemiologic data to guide policy and forecast local health care needs. Wereport the epidemiology of patients with cancer recorded by a de novohospital-based cancer registry at Kamuzu Central Hospital, Malawi, the soleprovider of comprehensive oncology services for half the country and location ofa high-volume pathology laboratory. Methods We conducted active case findingacross all hospital departments and the pathology laboratory from June  toMarch . Patient demographics, tumor characteristics, treatment, and HIVstatus were collected. We describe epidemiology of the cancer caseload, registrydesign, and costs associated with registry operations. Results Among ,registered patients, Kaposi sarcoma and cervical cancer were the most commoncancers among men and women, respectively. Burkitt lymphoma was most commoncancer among children. The current rate of pathology confirmation is %, a vastimprovement in the diagnostic capacity for cancer through the hospital'spathology laboratory. Among leading cancer types, an alarming proportion occurredat young ages; % of Kaposi sarcoma and % of esophageal, breast, and cervicalcancers were diagnosed among those younger than  years of age. A systematic,cross-sectional assessment of HIV status reveals a prevalence of % among adultsand % among children. Conclusion We report a high caseload among typicallyyoung patients and a significant burden of HIV infection among patients withcancer. In low- and middle-income countries with intermittent, sparse, ornonexistent cancer surveillance, hospital-based cancer registries can provideimportant local epidemiologic data while efforts to expand population-basedregistration continue."
" University of Malawi College of Medicine","Frequent HIV and Young Age Among Individuals With Diverse Cancers at a NationalTeaching Hospital in Malawi.","Purpose Cancer surveillance provides a critical evidence base to guide cancercontrol efforts, yet population-based coverage in Africa is sparse.Hospital-based registries may help fill this need by providing localepidemiologic data to guide policy and forecast local health care needs. Wereport the epidemiology of patients with cancer recorded by a de novohospital-based cancer registry at Kamuzu Central Hospital, Malawi, the soleprovider of comprehensive oncology services for half the country and location ofa high-volume pathology laboratory. Methods We conducted active case findingacross all hospital departments and the pathology laboratory from June  toMarch . Patient demographics, tumor characteristics, treatment, and HIVstatus were collected. We describe epidemiology of the cancer caseload, registrydesign, and costs associated with registry operations. Results Among ,registered patients, Kaposi sarcoma and cervical cancer were the most commoncancers among men and women, respectively. Burkitt lymphoma was most commoncancer among children. The current rate of pathology confirmation is %, a vastimprovement in the diagnostic capacity for cancer through the hospital'spathology laboratory. Among leading cancer types, an alarming proportion occurredat young ages; % of Kaposi sarcoma and % of esophageal, breast, and cervicalcancers were diagnosed among those younger than  years of age. A systematic,cross-sectional assessment of HIV status reveals a prevalence of % among adultsand % among children. Conclusion We report a high caseload among typicallyyoung patients and a significant burden of HIV infection among patients withcancer. In low- and middle-income countries with intermittent, sparse, ornonexistent cancer surveillance, hospital-based cancer registries can provideimportant local epidemiologic data while efforts to expand population-basedregistration continue."
"RTI International","Factors affecting the communication experiences of newly diagnosed colorectalcancer patients.","OBJECTIVE: This study assessed patient-centered communication (PCC) among newlydiagnosed colorectal cancer patients. PCC, a key part of patient-centered care,contributes directly and indirectly to health-related quality of life,satisfaction with care, and other outcomes.METHODS: We conducted a survey of patients in North Carolina, using atheoretically-based and validated measure that provides an overall PCC score andsubscale scores for six PCC functions.RESULTS: A total of  patients participated. The highest scores were for thePCC functions of Fostering Healing Relationships, Exchanging Information, andMaking Decisions. The lowest scores were for the functions of ManagingUncertainty and Enabling Self-Management, yet these were functions respondentsrated as most important. Respondents who thought about more than one healthprofessional (versus oncologist) reported better communication. PCC also variedby treatment type, mental and physical health status, age, race, and education.CONCLUSION: Most patients reported good communication overall, however patientsin poor physical health and mental health reported worse communication. Thequality of communication varied across the PCC functions.PRACTICE IMPLICATIONS: Health professionals need to use a PCC approach thatbuilds trust, respects the patient, provides salient information that patientscan understand, provides emotional support, and facilitates the patient'sengagement in care."
"Treiman at RTIInternational","Factors affecting the communication experiences of newly diagnosed colorectalcancer patients.","OBJECTIVE: This study assessed patient-centered communication (PCC) among newlydiagnosed colorectal cancer patients. PCC, a key part of patient-centered care,contributes directly and indirectly to health-related quality of life,satisfaction with care, and other outcomes.METHODS: We conducted a survey of patients in North Carolina, using atheoretically-based and validated measure that provides an overall PCC score andsubscale scores for six PCC functions.RESULTS: A total of  patients participated. The highest scores were for thePCC functions of Fostering Healing Relationships, Exchanging Information, andMaking Decisions. The lowest scores were for the functions of ManagingUncertainty and Enabling Self-Management, yet these were functions respondentsrated as most important. Respondents who thought about more than one healthprofessional (versus oncologist) reported better communication. PCC also variedby treatment type, mental and physical health status, age, race, and education.CONCLUSION: Most patients reported good communication overall, however patientsin poor physical health and mental health reported worse communication. Thequality of communication varied across the PCC functions.PRACTICE IMPLICATIONS: Health professionals need to use a PCC approach thatbuilds trust, respects the patient, provides salient information that patientscan understand, provides emotional support, and facilitates the patient'sengagement in care."
" Electronic address:ktreiman@rti","Factors affecting the communication experiences of newly diagnosed colorectalcancer patients.","OBJECTIVE: This study assessed patient-centered communication (PCC) among newlydiagnosed colorectal cancer patients. PCC, a key part of patient-centered care,contributes directly and indirectly to health-related quality of life,satisfaction with care, and other outcomes.METHODS: We conducted a survey of patients in North Carolina, using atheoretically-based and validated measure that provides an overall PCC score andsubscale scores for six PCC functions.RESULTS: A total of  patients participated. The highest scores were for thePCC functions of Fostering Healing Relationships, Exchanging Information, andMaking Decisions. The lowest scores were for the functions of ManagingUncertainty and Enabling Self-Management, yet these were functions respondentsrated as most important. Respondents who thought about more than one healthprofessional (versus oncologist) reported better communication. PCC also variedby treatment type, mental and physical health status, age, race, and education.CONCLUSION: Most patients reported good communication overall, however patientsin poor physical health and mental health reported worse communication. Thequality of communication varied across the PCC functions.PRACTICE IMPLICATIONS: Health professionals need to use a PCC approach thatbuilds trust, respects the patient, provides salient information that patientscan understand, provides emotional support, and facilitates the patient'sengagement in care."
" Texas A&M University","Factors affecting the communication experiences of newly diagnosed colorectalcancer patients.","OBJECTIVE: This study assessed patient-centered communication (PCC) among newlydiagnosed colorectal cancer patients. PCC, a key part of patient-centered care,contributes directly and indirectly to health-related quality of life,satisfaction with care, and other outcomes.METHODS: We conducted a survey of patients in North Carolina, using atheoretically-based and validated measure that provides an overall PCC score andsubscale scores for six PCC functions.RESULTS: A total of  patients participated. The highest scores were for thePCC functions of Fostering Healing Relationships, Exchanging Information, andMaking Decisions. The lowest scores were for the functions of ManagingUncertainty and Enabling Self-Management, yet these were functions respondentsrated as most important. Respondents who thought about more than one healthprofessional (versus oncologist) reported better communication. PCC also variedby treatment type, mental and physical health status, age, race, and education.CONCLUSION: Most patients reported good communication overall, however patientsin poor physical health and mental health reported worse communication. Thequality of communication varied across the PCC functions.PRACTICE IMPLICATIONS: Health professionals need to use a PCC approach thatbuilds trust, respects the patient, provides salient information that patientscan understand, provides emotional support, and facilitates the patient'sengagement in care."
" Washington University School of Medicine","Phase  trial of neoadjuvant chemotherapy and transoral endoscopic surgery withrisk-adapted adjuvant therapy for squamous cell carcinoma of the head and neck.","BACKGROUND: The objective of this study was to demonstrate the feasibility andefficacy of induction chemotherapy, surgery, and pathology-guided adjuvanttherapy to treat transorally resectable squamous head and neck cancer.METHODS: Patients had squamous head and neck cancer that was resectable by thetransoral route and advanced-stage disease (American Joint Committee on Cancerstage III-IV, T-T tumors, and/or positive lymph nodes). They received treatmentwith weekly carboplatin at an area under the curve of , plus paclitaxel mg/m , and daily lapatinib mg for  weeks followed by surgicalresection. Pathology that revealed margins < mm, extracapsular extension, Na ofNb lymph node status, perineural invasion, or lymphovascular space invasionresulted in adjuvant radiotherapy concurrent with weekly cisplatin. Pathologywith Nc/N lymph node status or positive margins resulted in radiation withbolus cisplatin. The primary endpoint was the clinical response rate to inductionchemotherapy, and a key secondary endpoint was feasibility.RESULTS: Toxicity was modest, and  of  patients completed study procedures asplanned. The clinical response rate was %, the pathologic complete responserate was %, and the clinical response did not predict for a pathologic completeresponse. No patient on study follow-up has recurred or died. Twenty-nine of patients who underwent surgery avoided radiation. Speech and swallowing functionwere well preserved.CONCLUSIONS: The study met both its primary efficacy endpoint and the secondaryfeasibility endpoint. Neoadjuvant, systemic therapy and surgical resectionfollowed by risk-adapted adjuvant therapy resulted in high response rates andexcellent long-term outcomes and should be further studied. Cancer;:-. ©  American Cancer Society."
"West Cancer Center","Phase  trial of neoadjuvant chemotherapy and transoral endoscopic surgery withrisk-adapted adjuvant therapy for squamous cell carcinoma of the head and neck.","BACKGROUND: The objective of this study was to demonstrate the feasibility andefficacy of induction chemotherapy, surgery, and pathology-guided adjuvanttherapy to treat transorally resectable squamous head and neck cancer.METHODS: Patients had squamous head and neck cancer that was resectable by thetransoral route and advanced-stage disease (American Joint Committee on Cancerstage III-IV, T-T tumors, and/or positive lymph nodes). They received treatmentwith weekly carboplatin at an area under the curve of , plus paclitaxel mg/m , and daily lapatinib mg for  weeks followed by surgicalresection. Pathology that revealed margins < mm, extracapsular extension, Na ofNb lymph node status, perineural invasion, or lymphovascular space invasionresulted in adjuvant radiotherapy concurrent with weekly cisplatin. Pathologywith Nc/N lymph node status or positive margins resulted in radiation withbolus cisplatin. The primary endpoint was the clinical response rate to inductionchemotherapy, and a key secondary endpoint was feasibility.RESULTS: Toxicity was modest, and  of  patients completed study procedures asplanned. The clinical response rate was %, the pathologic complete responserate was %, and the clinical response did not predict for a pathologic completeresponse. No patient on study follow-up has recurred or died. Twenty-nine of patients who underwent surgery avoided radiation. Speech and swallowing functionwere well preserved.CONCLUSIONS: The study met both its primary efficacy endpoint and the secondaryfeasibility endpoint. Neoadjuvant, systemic therapy and surgical resectionfollowed by risk-adapted adjuvant therapy resulted in high response rates andexcellent long-term outcomes and should be further studied. Cancer;:-. ©  American Cancer Society."
" University of Arizona","Optimization of Phase-Change Contrast Agents for Targeting MDA-MB- BreastCancer Cells.","Breast cancer remains a leading cause of death for women throughout the world.Recent advances in medical imaging technologies and tumor targeting agentssignify vast potential for progress toward improved management of this globalproblem. Phase-change contrast agents (PCCAs) are dynamic imaging agents withpractical applications in both the research and clinical settings. PCCAs possesscharacteristics that allow for cellular uptake where they can be converted fromliquid-phase PCCAs to gaseous microbubbles via ultrasound energy. Previously, wereported successful internalization of folate-targeted PCCAs in MDA-MB- breastcancer cells followed by ultrasound-mediated activation to produce internalizedmicrobubbles. This study examines the binding, internalization and activation offolate-receptor targeted PCCAs in MDA-MB- breast cancer cells as a function ofgaseous core compositions, incubation time and ultrasound exposure period. Invitro results indicate that internalization and ultrasound-mediated activation ofPCCAs were significantly greater using a : mixture ofdecafluorobutane:dodecafluoropentane compared with other core compositions: :octafluoropropane:decafluorobutane (p < .), decafluorobutane (p < .) anddodecafluoropentane (p < .). Furthermore, it was found that PCCAs composedof perfluorocarbons with higher boiling points responded with greater activationefficiency when exposed to s of ultrasound exposure as opposed to s ofultrasound exposure. When evaluating different incubation times, it was foundthat incubating the PCCAs with breast cancer cells for min did not producesignificantly greater internalization and activation compared with incubation for min; this was concluded after comparing the number of microbubbles present percell before ultrasound versus post-ultrasound, and finding a ratio ofintracellular microbubbles post-ultrasound/pre-ultrasound, . versus .,respectively. The data collected in this study helps illustrate furtheroptimization of folate-receptor targeted PCCAs for breast cancer targeting andimaging."
" Sunnybrook Research Institute","Optimization of Phase-Change Contrast Agents for Targeting MDA-MB- BreastCancer Cells.","Breast cancer remains a leading cause of death for women throughout the world.Recent advances in medical imaging technologies and tumor targeting agentssignify vast potential for progress toward improved management of this globalproblem. Phase-change contrast agents (PCCAs) are dynamic imaging agents withpractical applications in both the research and clinical settings. PCCAs possesscharacteristics that allow for cellular uptake where they can be converted fromliquid-phase PCCAs to gaseous microbubbles via ultrasound energy. Previously, wereported successful internalization of folate-targeted PCCAs in MDA-MB- breastcancer cells followed by ultrasound-mediated activation to produce internalizedmicrobubbles. This study examines the binding, internalization and activation offolate-receptor targeted PCCAs in MDA-MB- breast cancer cells as a function ofgaseous core compositions, incubation time and ultrasound exposure period. Invitro results indicate that internalization and ultrasound-mediated activation ofPCCAs were significantly greater using a : mixture ofdecafluorobutane:dodecafluoropentane compared with other core compositions: :octafluoropropane:decafluorobutane (p < .), decafluorobutane (p < .) anddodecafluoropentane (p < .). Furthermore, it was found that PCCAs composedof perfluorocarbons with higher boiling points responded with greater activationefficiency when exposed to s of ultrasound exposure as opposed to s ofultrasound exposure. When evaluating different incubation times, it was foundthat incubating the PCCAs with breast cancer cells for min did not producesignificantly greater internalization and activation compared with incubation for min; this was concluded after comparing the number of microbubbles present percell before ultrasound versus post-ultrasound, and finding a ratio ofintracellular microbubbles post-ultrasound/pre-ultrasound, . versus .,respectively. The data collected in this study helps illustrate furtheroptimization of folate-receptor targeted PCCAs for breast cancer targeting andimaging."
" University of Toronto","Optimization of Phase-Change Contrast Agents for Targeting MDA-MB- BreastCancer Cells.","Breast cancer remains a leading cause of death for women throughout the world.Recent advances in medical imaging technologies and tumor targeting agentssignify vast potential for progress toward improved management of this globalproblem. Phase-change contrast agents (PCCAs) are dynamic imaging agents withpractical applications in both the research and clinical settings. PCCAs possesscharacteristics that allow for cellular uptake where they can be converted fromliquid-phase PCCAs to gaseous microbubbles via ultrasound energy. Previously, wereported successful internalization of folate-targeted PCCAs in MDA-MB- breastcancer cells followed by ultrasound-mediated activation to produce internalizedmicrobubbles. This study examines the binding, internalization and activation offolate-receptor targeted PCCAs in MDA-MB- breast cancer cells as a function ofgaseous core compositions, incubation time and ultrasound exposure period. Invitro results indicate that internalization and ultrasound-mediated activation ofPCCAs were significantly greater using a : mixture ofdecafluorobutane:dodecafluoropentane compared with other core compositions: :octafluoropropane:decafluorobutane (p < .), decafluorobutane (p < .) anddodecafluoropentane (p < .). Furthermore, it was found that PCCAs composedof perfluorocarbons with higher boiling points responded with greater activationefficiency when exposed to s of ultrasound exposure as opposed to s ofultrasound exposure. When evaluating different incubation times, it was foundthat incubating the PCCAs with breast cancer cells for min did not producesignificantly greater internalization and activation compared with incubation for min; this was concluded after comparing the number of microbubbles present percell before ultrasound versus post-ultrasound, and finding a ratio ofintracellular microbubbles post-ultrasound/pre-ultrasound, . versus .,respectively. The data collected in this study helps illustrate furtheroptimization of folate-receptor targeted PCCAs for breast cancer targeting andimaging."
"School of Pharmacy and Jiangsu Province Key Laboratory for Inflammation and Molecular Drug Target","Development of novel amino-quinoline-,-dione derivatives as NAD(P)H:quinoneoxidoreductase  (NQO) inhibitors with potent antiproliferative activities.","Fourteen novel amino-quinoline-,-dione derivatives (a-h and a-h) weredesigned and synthesized by coupling different alkyl- or aryl-amino fragments atthe C- or C-position of quinoline-,-dione. All target compounds showedantiproliferative potency in the low micromolar range in both drug sensitiveHeLaS and multidrug resistant KB-vin cell lines. Compounds h, d, a, and dexhibited more potent antiproliferative effects than the other compounds.Especially, compounds d and d displayed NQO-dependent cytotoxicity andcompetitive NQO inhibitory effects in both drug sensitive HeLaS and multidrugresistant KB-vin cell lines. Furthermore, compounds h, d, a, and d induced adose-dependent lethal mitochondrial dysfunction in both drug sensitive HeLaS andmultidrug resistant KB-vin cells by increasing intracellular reactive oxygenspecies (ROS) levels. Notably, compound d selectively inhibited cancer cells,but not non-tumor liver cell proliferation in vitro, and significantly triggeredHeLaS cell apoptosis by regulating apoptotic proteins of Bcl-, Bax, and cleavedcaspase- in a dose-dependent manner. Our findings suggest that these novel C-or C-substituted amino-quinoline-,-dione derivatives, such as d, could befurther developed in the future as potent and selective antitumor agents topotentially circumvent multi-drug resistance (MDR)."
" Nantong University","Development of novel amino-quinoline-,-dione derivatives as NAD(P)H:quinoneoxidoreductase  (NQO) inhibitors with potent antiproliferative activities.","Fourteen novel amino-quinoline-,-dione derivatives (a-h and a-h) weredesigned and synthesized by coupling different alkyl- or aryl-amino fragments atthe C- or C-position of quinoline-,-dione. All target compounds showedantiproliferative potency in the low micromolar range in both drug sensitiveHeLaS and multidrug resistant KB-vin cell lines. Compounds h, d, a, and dexhibited more potent antiproliferative effects than the other compounds.Especially, compounds d and d displayed NQO-dependent cytotoxicity andcompetitive NQO inhibitory effects in both drug sensitive HeLaS and multidrugresistant KB-vin cell lines. Furthermore, compounds h, d, a, and d induced adose-dependent lethal mitochondrial dysfunction in both drug sensitive HeLaS andmultidrug resistant KB-vin cells by increasing intracellular reactive oxygenspecies (ROS) levels. Notably, compound d selectively inhibited cancer cells,but not non-tumor liver cell proliferation in vitro, and significantly triggeredHeLaS cell apoptosis by regulating apoptotic proteins of Bcl-, Bax, and cleavedcaspase- in a dose-dependent manner. Our findings suggest that these novel C-or C-substituted amino-quinoline-,-dione derivatives, such as d, could befurther developed in the future as potent and selective antitumor agents topotentially circumvent multi-drug resistance (MDR)."
" China Medical University","Development of novel amino-quinoline-,-dione derivatives as NAD(P)H:quinoneoxidoreductase  (NQO) inhibitors with potent antiproliferative activities.","Fourteen novel amino-quinoline-,-dione derivatives (a-h and a-h) weredesigned and synthesized by coupling different alkyl- or aryl-amino fragments atthe C- or C-position of quinoline-,-dione. All target compounds showedantiproliferative potency in the low micromolar range in both drug sensitiveHeLaS and multidrug resistant KB-vin cell lines. Compounds h, d, a, and dexhibited more potent antiproliferative effects than the other compounds.Especially, compounds d and d displayed NQO-dependent cytotoxicity andcompetitive NQO inhibitory effects in both drug sensitive HeLaS and multidrugresistant KB-vin cell lines. Furthermore, compounds h, d, a, and d induced adose-dependent lethal mitochondrial dysfunction in both drug sensitive HeLaS andmultidrug resistant KB-vin cells by increasing intracellular reactive oxygenspecies (ROS) levels. Notably, compound d selectively inhibited cancer cells,but not non-tumor liver cell proliferation in vitro, and significantly triggeredHeLaS cell apoptosis by regulating apoptotic proteins of Bcl-, Bax, and cleavedcaspase- in a dose-dependent manner. Our findings suggest that these novel C-or C-substituted amino-quinoline-,-dione derivatives, such as d, could befurther developed in the future as potent and selective antitumor agents topotentially circumvent multi-drug resistance (MDR)."
" China Medical University and Hospital","Development of novel amino-quinoline-,-dione derivatives as NAD(P)H:quinoneoxidoreductase  (NQO) inhibitors with potent antiproliferative activities.","Fourteen novel amino-quinoline-,-dione derivatives (a-h and a-h) weredesigned and synthesized by coupling different alkyl- or aryl-amino fragments atthe C- or C-position of quinoline-,-dione. All target compounds showedantiproliferative potency in the low micromolar range in both drug sensitiveHeLaS and multidrug resistant KB-vin cell lines. Compounds h, d, a, and dexhibited more potent antiproliferative effects than the other compounds.Especially, compounds d and d displayed NQO-dependent cytotoxicity andcompetitive NQO inhibitory effects in both drug sensitive HeLaS and multidrugresistant KB-vin cell lines. Furthermore, compounds h, d, a, and d induced adose-dependent lethal mitochondrial dysfunction in both drug sensitive HeLaS andmultidrug resistant KB-vin cells by increasing intracellular reactive oxygenspecies (ROS) levels. Notably, compound d selectively inhibited cancer cells,but not non-tumor liver cell proliferation in vitro, and significantly triggeredHeLaS cell apoptosis by regulating apoptotic proteins of Bcl-, Bax, and cleavedcaspase- in a dose-dependent manner. Our findings suggest that these novel C-or C-substituted amino-quinoline-,-dione derivatives, such as d, could befurther developed in the future as potent and selective antitumor agents topotentially circumvent multi-drug resistance (MDR)."
